GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
0400000US40,40,Oklahoma,961956,1308,959366,1326,157684,3533,106412,3409,53484,2695,165740,4582,164410,4879,156992,4963,154644,1533,2590,328
0400000US41,41,Oregon,868246,1742,865279,1875,137702,4539,96838,4097,46588,3551,146523,4900,144160,4626,146464,5565,147004,1850,2967,750
0400000US42,42,Pennsylvania,2674845,2231,2663922,2228,423445,5624,285681,5531,143411,6438,439793,6868,451385,7115,452554,7892,467653,1912,10923,962
0400000US44,44,Rhode Island,208640,608,207806,697,31256,2164,22888,2093,11448,1883,29169,2298,34750,2382,40365,2858,37930,736,834,284
0400000US45,45,South Carolina,1099964,1515,1096675,1612,173439,4997,116472,4762,57673,4673,187822,6291,195235,6955,182746,6877,183288,2702,3289,498
0400000US46,46,South Dakota,213901,1285,212742,1362,36542,2084,24350,1929,12936,1729,37317,2452,34383,1975,35076,2285,32138,1089,1159,479
0400000US47,47,Tennessee,1503252,3130,1500270,3157,238413,5770,165654,5141,79663,5267,248846,6285,251013,5946,260573,7411,256108,2406,2982,513
0400000US48,48,Texas,7291694,3776,7275916,3615,1200983,12222,805454,12523,386318,11844,1232305,18919,1250768,16859,1207834,17453,1192254,4156,15778,1558
0400000US49,49,Utah,921847,1148,918765,1145,150804,3242,102618,3110,51450,3408,161780,5474,157869,4669,149184,6089,145060,1401,3082,192
0400000US50,50,Vermont,118684,1002,118249,1020,17074,1269,13390,1139,5983,896,21034,1542,19783,1759,19948,1783,21037,500,435,128
0400000US51,51,Virginia,1867560,3041,1863541,3021,295055,6349,208698,5665,97740,4423,313805,8228,319453,8009,315305,6692,313485,3672,4019,510
0400000US53,53,Washington,1629061,1890,1626757,1903,263257,4987,186685,4705,86661,4558,286698,6500,268873,6303,265895,6947,268688,2292,2304,307
0400000US54,54,West Virginia,376883,1825,375537,1808,61413,2850,40248,2068,18747,1992,63706,3618,63496,3291,62941,3607,64986,1317,1346,243
0400000US55,55,Wisconsin,1284991,1993,1283467,2043,201893,4295,132198,4528,68868,3470,212954,5602,226166,5043,217415,5605,223973,1919,1524,302
0400000US56,56,Wyoming,140860,1641,140269,1665,23071,1706,14758,1950,7911,1288,26389,2554,24804,2539,21902,2217,21434,1237,591,205
0400000US72,72,Puerto Rico,695876,,694108,542,90976,3186,68777,2841,35442,2746,110484,4822,119269,5440,131545,5444,137615,1568,1768,542
